target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
40-60,0.0,auroc,All,40-60,-0.579618254126232,0.5781253323048884,0.688124344065305,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8517263915630503,0.8477799433022769,0.8556728398238237
40-60,0.0,auroc,All,60-80,11.13458857910408,3.7845063009179227e-06,3.503253660099202e-05,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8081315300855992,0.8025983478740396,0.8136647122971589
40-60,0.0,auroc,All,80+,-0.7174133746524616,0.4935314514817899,0.688124344065305,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8653508771929825,0.8279276903532893,0.9027740640326758
40-60,0.05,auroc,All,0-20,-6.721846966032053,0.00014930889254416451,0.0007838716858568637,0.8564546040953578,0.8494871670474302,0.8634220411432854,0.8934138364779873,0.8867532670600705,0.9000744058959042
40-60,0.05,auroc,All,20-40,-0.561522610154542,0.58982086634169,0.688124344065305,0.8564546040953578,0.8494871670474302,0.8634220411432854,0.8594794364621166,0.853105103857408,0.8658537690668251
40-60,0.05,auroc,All,40-60,-0.22524980264444588,0.8274323560277042,0.9145304987674626,0.8564546040953578,0.8494871670474302,0.8634220411432854,0.8577947983741099,0.8500329821417908,0.865556614606429
40-60,0.05,auroc,All,60-80,5.283366641294283,0.0007431744345421368,0.0022295233036264107,0.8564546040953578,0.8494871670474302,0.8634220411432854,0.8227530211480364,0.8140066210110991,0.8314994212849737
40-60,0.05,auroc,All,80+,0.9036345409423735,0.3925860113630282,0.5888790170445423,0.8564546040953578,0.8494871670474302,0.8634220411432854,0.8513157894736842,0.8441854950491142,0.8584460838982543
40-60,0.1,auroc,All,0-20,-5.985470530447303,0.0003286764646213804,0.0013804411514097977,0.8451322987680709,0.8417321446789361,0.8485324528572058,0.881096855345912,0.8711273047855119,0.891066405906312
40-60,0.1,auroc,All,20-40,-1.1579500154327096,0.28028328823658166,0.45276531176678575,0.8451322987680709,0.8417321446789361,0.8485324528572058,0.8506183289683745,0.843040802254944,0.858195855681805
40-60,0.1,auroc,All,40-60,0.003888657400062873,0.9969925285081962,0.9969925285081962,0.8451322987680709,0.8417321446789361,0.8485324528572058,0.8451179804733325,0.8396312909762531,0.850604669970412
40-60,0.1,auroc,All,60-80,13.61185166219257,8.161456954918426e-07,1.7139059605328695e-05,0.8451322987680709,0.8417321446789361,0.8485324528572058,0.8088750157351461,0.8056745066937744,0.8120755247765178
40-60,0.1,auroc,All,80+,-2.571186515349969,0.033066479964883225,0.06943960792625478,0.8451322987680709,0.8417321446789361,0.8485324528572058,0.8618421052631579,0.8509685082051831,0.8727157023211326
40-60,0.25,auroc,All,0-20,-3.1137343898610568,0.014364127774379391,0.03351629814021858,0.846551818837416,0.8387736522747811,0.854329985400051,0.8804150943396227,0.8630087592195352,0.8978214294597102
40-60,0.25,auroc,All,20-40,-0.5987335222962626,0.5659138705432862,0.688124344065305,0.846551818837416,0.8387736522747811,0.854329985400051,0.8511071561208299,0.8402723219337035,0.8619419903079563
40-60,0.25,auroc,All,40-60,-0.04495124925478669,0.9652479576875448,0.9969925285081962,0.846551818837416,0.8387736522747811,0.854329985400051,0.8468019380911072,0.8409157240068232,0.8526881521753911
40-60,0.25,auroc,All,60-80,5.1496689475294675,0.0008746789367576843,0.002296032208988921,0.846551818837416,0.8387736522747811,0.854329985400051,0.813282036757301,0.8050497331026178,0.8215143404119842
40-60,0.25,auroc,All,80+,-2.2841370797087603,0.05173615852090731,0.09876902990355031,0.846551818837416,0.8387736522747811,0.854329985400051,0.868859649122807,0.8536075153446575,0.8841117829009565
40-60,0.5,auroc,All,0-20,-5.299159608018202,0.0007291283072652935,0.0022295233036264107,0.847815934789508,0.8408101107774827,0.8548217588015333,0.8831396226415095,0.8737869560226904,0.8924922892603285
40-60,0.5,auroc,All,20-40,-0.8748665239249355,0.4071438674821719,0.5293355210769418,0.847815934789508,0.8408101107774827,0.8548217588015333,0.8532681724568688,0.8448850588549228,0.8616512860588148
40-60,0.5,auroc,All,40-60,0.08920450535009,0.9311121769399079,0.9691035810770802,0.847815934789508,0.8408101107774827,0.8548217588015333,0.8472507270192564,0.8386313358035131,0.8558701182349997
40-60,0.5,auroc,All,60-80,5.792003575751405,0.00040887484359143964,0.0017172743430840466,0.847815934789508,0.8408101107774827,0.8548217588015333,0.8117588746223564,0.8033912157333983,0.8201265335113145
40-60,0.5,auroc,All,80+,-1.1304903179459822,0.29102063543487616,0.4976526811514875,0.847815934789508,0.8408101107774827,0.8548217588015333,0.8657894736842104,0.8388128704809352,0.8927660768874857
40-60,0.75,auroc,All,0-20,-8.626297399610511,2.528344938934154e-05,0.00013273810929404308,0.8259095593027922,0.8182927028379203,0.8335264157676641,0.8703094339622641,0.8654723048225407,0.8751465631019876
40-60,0.75,auroc,All,20-40,-1.0476408285722234,0.3254212638318817,0.4976526811514875,0.8259095593027922,0.8182927028379203,0.8335264157676641,0.8327593774266517,0.8241943017534734,0.8413244530998301
